temp,humidity,time
39,40,2026-03-10 14:31:28
-10,40,2026-03-10 14:31:29
22,40,2026-03-10 14:31:30
37,40,2026-03-10 14:31:31
-11,40,2026-03-10 14:31:32
-9,40,2026-03-10 14:31:33
41,40,2026-03-10 14:31:34
-3,40,2026-03-10 14:31:35
24,40,2026-03-10 14:31:36
-16,40,2026-03-10 14:31:37
35,40,2026-03-10 14:31:38
18,40,2026-03-10 14:31:39
14,40,2026-03-10 14:31:40
-4,40,2026-03-10 14:31:41
4,40,2026-03-10 14:31:42
39,40,2026-03-10 14:31:43
26,40,2026-03-10 14:31:44
-5,40,2026-03-10 14:31:45
28,40,2026-03-10 14:31:46
-12,40,2026-03-10 14:31:47
-4,40,2026-03-10 14:31:48
-1,40,2026-03-10 14:31:49
4,40,2026-03-10 14:31:50
7,40,2026-03-10 14:31:51
26,40,2026-03-10 14:31:52
30,40,2026-03-10 14:31:53
37,40,2026-03-10 14:31:54
29,40,2026-03-10 14:31:55
34,40,2026-03-10 14:31:56
-10,40,2026-03-10 14:31:57
25,40,2026-03-10 14:31:58
26,40,2026-03-10 14:31:59
-4,40,2026-03-10 14:32:00
23,40,2026-03-10 14:32:01
-19,40,2026-03-10 14:32:02
16,40,2026-03-10 14:32:03
-5,40,2026-03-10 14:32:04
34,40,2026-03-10 14:32:05
25,40,2026-03-10 14:32:06
23,40,2026-03-10 14:32:07
12,40,2026-03-10 14:32:08
-16,40,2026-03-10 14:32:09
26,40,2026-03-10 14:32:10
33,40,2026-03-10 14:32:11
26,40,2026-03-10 14:32:12
23,40,2026-03-10 14:32:13
5,40,2026-03-10 14:32:14
-6,40,2026-03-10 14:32:15
5,40,2026-03-10 14:32:16
6,40,2026-03-10 14:32:17
20,40,2026-03-10 14:32:18
8,40,2026-03-10 14:32:19
14,40,2026-03-10 14:32:20
34,40,2026-03-10 14:32:21
-20,40,2026-03-10 14:32:22
39,40,2026-03-10 14:32:23
-5,40,2026-03-10 14:32:24
36,40,2026-03-10 14:32:25
6,40,2026-03-10 14:32:26
26,40,2026-03-10 14:32:27
19,40,2026-03-10 14:32:28
38,40,2026-03-10 14:32:29
32,40,2026-03-10 14:32:31
36,40,2026-03-10 14:32:31
7,40,2026-03-10 14:32:32
24,40,2026-03-10 14:32:33
4,40,2026-03-10 14:32:34
31,40,2026-03-10 14:32:35
22,40,2026-03-10 14:32:36
-13,40,2026-03-10 14:32:37
7,40,2026-03-10 14:32:38
16,40,2026-03-10 14:32:39
-16,40,2026-03-10 14:32:40
3,40,2026-03-10 14:32:41
39,40,2026-03-10 14:32:42
-13,40,2026-03-10 14:32:43
-5,40,2026-03-10 14:32:44
28,40,2026-03-10 14:32:45
17,40,2026-03-10 14:32:46
16,40,2026-03-10 14:32:47
-16,40,2026-03-10 14:32:48
5,40,2026-03-10 14:32:49
-17,40,2026-03-10 14:32:50
10,40,2026-03-10 14:32:51
39,40,2026-03-10 14:32:52
8,40,2026-03-10 14:32:53
20,40,2026-03-10 14:32:54
-20,40,2026-03-10 14:32:55
-2,40,2026-03-10 14:32:56
-10,40,2026-03-10 14:32:57
9,40,2026-03-10 14:32:58
-18,40,2026-03-10 14:32:59
7,40,2026-03-10 14:33:00
31,40,2026-03-10 14:33:01
39,40,2026-03-10 14:33:02
-15,40,2026-03-10 14:33:03
4,40,2026-03-10 14:33:04
44,40,2026-03-10 14:33:05
21,40,2026-03-10 14:33:06
27,40,2026-03-10 14:33:07
2,40,2026-03-10 14:33:08
38,40,2026-03-10 14:33:09
15,40,2026-03-10 14:33:10
27,40,2026-03-10 14:33:11
29,40,2026-03-10 14:33:12
-17,40,2026-03-10 14:33:13
-18,40,2026-03-10 14:33:14
2,40,2026-03-10 14:33:15
18,40,2026-03-10 14:33:16
-18,40,2026-03-10 14:33:17
0,40,2026-03-10 14:33:18
32,40,2026-03-10 14:33:19
-17,40,2026-03-10 14:33:20
6,40,2026-03-10 14:33:21
26,40,2026-03-10 14:33:22
30,40,2026-03-10 14:33:23
27,40,2026-03-10 14:33:24
43,40,2026-03-10 14:33:25
-5,40,2026-03-10 14:33:26
26,40,2026-03-10 14:33:27
-14,40,2026-03-10 14:33:28
34,40,2026-03-10 14:33:29
38,40,2026-03-10 14:33:30
-3,40,2026-03-10 14:33:31
10,40,2026-03-10 14:33:32
31,40,2026-03-10 14:33:33
-8,40,2026-03-10 14:33:34
22,40,2026-03-10 14:33:35
22,40,2026-03-10 14:33:36
27,40,2026-03-10 14:33:37
37,40,2026-03-10 14:33:38
13,40,2026-03-10 14:33:39
36,40,2026-03-10 14:33:40
2,40,2026-03-10 14:33:41
-6,40,2026-03-10 14:33:42
29,40,2026-03-10 14:33:43
20,40,2026-03-10 14:33:44
10,40,2026-03-10 14:33:45
-14,40,2026-03-10 14:33:46
7,40,2026-03-10 14:33:47
5,40,2026-03-10 14:33:48
-7,40,2026-03-10 14:33:49
-17,40,2026-03-10 14:33:50
4,40,2026-03-10 14:33:51
-13,40,2026-03-10 14:33:52
24,40,2026-03-10 14:33:53
33,40,2026-03-10 14:33:54
7,40,2026-03-10 14:33:55
21,40,2026-03-10 14:33:56
6,40,2026-03-10 14:33:57
35,40,2026-03-10 14:33:58
42,40,2026-03-10 14:33:59
9,40,2026-03-10 14:34:00
27,40,2026-03-10 14:34:01
43,40,2026-03-10 14:34:02
41,40,2026-03-10 14:34:03
23,40,2026-03-10 14:34:04
21,40,2026-03-10 14:34:05
22,40,2026-03-10 14:34:06
-7,40,2026-03-10 14:34:07
22,40,2026-03-10 14:34:08
-16,40,2026-03-10 14:34:09
-13,40,2026-03-10 14:34:10
-11,40,2026-03-10 14:34:11
17,40,2026-03-10 14:34:12
-14,40,2026-03-10 14:34:13
29,40,2026-03-10 14:34:14
-19,40,2026-03-10 14:34:15
10,40,2026-03-10 14:34:16
44,40,2026-03-10 14:34:17
-4,40,2026-03-10 14:34:18
33,40,2026-03-10 14:34:19
-6,40,2026-03-10 14:34:20
-14,40,2026-03-10 14:34:21
-6,40,2026-03-10 14:34:22
24,40,2026-03-10 14:34:23
-16,40,2026-03-10 14:34:24
11,40,2026-03-10 14:34:26
15,40,2026-03-10 14:34:27
43,40,2026-03-10 14:34:27
32,40,2026-03-10 14:34:28
20,40,2026-03-10 14:34:29
43,40,2026-03-10 14:34:30
-10,40,2026-03-10 14:34:31
5,40,2026-03-10 14:34:32
-5,40,2026-03-10 14:34:33
22,40,2026-03-10 14:34:34
5,40,2026-03-10 14:34:35
38,40,2026-03-10 14:34:36
6,40,2026-03-10 14:34:37
40,40,2026-03-10 14:34:38
-8,40,2026-03-10 14:34:39
27,40,2026-03-10 14:34:40
23,40,2026-03-10 14:34:41
22,40,2026-03-10 14:34:42
24,40,2026-03-10 14:34:43
-2,40,2026-03-10 14:34:44
19,40,2026-03-10 14:34:45
31,40,2026-03-10 14:34:46
28,40,2026-03-10 14:34:47
20,40,2026-03-10 14:34:48
3,40,2026-03-10 14:34:51
15,40,2026-03-10 14:34:51
-17,40,2026-03-10 14:34:51
14,40,2026-03-10 14:34:52
-12,40,2026-03-10 14:34:53
-14,40,2026-03-10 14:34:54
-19,40,2026-03-10 14:34:55
16,40,2026-03-10 14:34:56
-12,40,2026-03-10 14:34:57
34,40,2026-03-10 14:34:58
13,40,2026-03-10 14:34:59
19,40,2026-03-10 14:35:00
-2,40,2026-03-10 14:35:01
17,40,2026-03-10 14:35:02
22,40,2026-03-10 14:35:03
24,40,2026-03-10 14:35:04
12,40,2026-03-10 14:35:05
13,40,2026-03-10 14:35:06
32,40,2026-03-10 14:35:07
37,40,2026-03-10 14:35:08
41,40,2026-03-10 14:35:09
13,40,2026-03-10 14:35:10
16,40,2026-03-10 14:35:11
-18,40,2026-03-10 14:35:12
9,40,2026-03-10 14:35:13
-19,40,2026-03-10 14:35:14
11,40,2026-03-10 14:35:15
15,40,2026-03-10 14:35:16
44,40,2026-03-10 14:35:17
23,40,2026-03-10 14:35:18
10,40,2026-03-10 14:35:19
-2,40,2026-03-10 14:35:20
41,40,2026-03-10 14:35:22
-9,40,2026-03-10 14:35:23
-13,40,2026-03-10 14:35:24
37,40,2026-03-10 14:35:25
-19,40,2026-03-10 14:35:26
23,40,2026-03-10 14:35:27
38,40,2026-03-10 14:35:28
1,40,2026-03-10 14:35:29
39,40,2026-03-10 14:35:30
-17,40,2026-03-10 14:35:31
10,40,2026-03-10 14:35:32
42,40,2026-03-10 14:35:33
33,40,2026-03-10 14:35:34
14,40,2026-03-10 14:35:35
22,40,2026-03-10 14:35:36
-9,40,2026-03-10 14:35:37
7,40,2026-03-10 14:35:38
24,40,2026-03-10 14:35:39
-11,40,2026-03-10 14:35:40
9,40,2026-03-10 14:35:41
-11,40,2026-03-10 14:35:42
-9,40,2026-03-10 14:35:43
2,40,2026-03-10 14:35:44
8,40,2026-03-10 14:35:45
-11,40,2026-03-10 14:35:46
17,40,2026-03-10 14:35:47
26,40,2026-03-10 14:35:48
8,40,2026-03-10 14:35:49
-20,40,2026-03-10 14:35:50
-16,40,2026-03-10 14:35:51
-10,40,2026-03-10 14:35:52
17,40,2026-03-10 14:35:53
32,40,2026-03-10 14:35:54
39,40,2026-03-10 14:35:55
-7,40,2026-03-10 14:35:56
38,40,2026-03-10 14:35:57
34,40,2026-03-10 14:35:58
28,40,2026-03-10 14:35:59
42,40,2026-03-10 14:36:00
10,40,2026-03-10 14:36:01
33,40,2026-03-10 14:36:02
19,40,2026-03-10 14:36:03
45,40,2026-03-10 14:36:04
-7,40,2026-03-10 14:36:05
6,40,2026-03-10 14:36:06
27,40,2026-03-10 14:36:07
39,40,2026-03-10 14:36:08
-2,40,2026-03-10 14:36:09
45,40,2026-03-10 14:36:10
-11,40,2026-03-10 14:36:11
34,40,2026-03-10 14:36:12
-20,40,2026-03-10 14:36:13
-19,40,2026-03-10 14:36:14
28,40,2026-03-10 14:36:15
-18,40,2026-03-10 14:36:16
11,40,2026-03-10 14:36:17
-2,40,2026-03-10 14:36:18
3,40,2026-03-10 14:36:19
42,40,2026-03-10 14:36:20
25,40,2026-03-10 14:36:21
17,40,2026-03-10 14:36:22
-18,40,2026-03-10 14:36:23
22,40,2026-03-10 14:36:24
-14,40,2026-03-10 14:36:25
-16,40,2026-03-10 14:36:26
34,40,2026-03-10 14:36:27
37,40,2026-03-10 14:36:28
-19,40,2026-03-10 14:36:29
12,40,2026-03-10 14:36:30
-6,40,2026-03-10 14:36:31
5,40,2026-03-10 14:36:32
1,40,2026-03-10 14:36:33
4,40,2026-03-10 14:36:34
27,40,2026-03-10 14:36:35
20,40,2026-03-10 14:36:36
2,40,2026-03-10 14:36:37
7,40,2026-03-10 14:36:38
2,40,2026-03-10 14:36:39
-8,40,2026-03-10 14:36:40
-9,40,2026-03-10 14:36:41
12,40,2026-03-10 14:36:42
-13,40,2026-03-10 14:36:43
-19,40,2026-03-10 14:36:44
32,40,2026-03-10 14:36:45
37,40,2026-03-10 14:36:46
14,40,2026-03-10 14:36:47
-9,40,2026-03-10 14:36:48
30,40,2026-03-10 14:36:49
12,40,2026-03-10 14:36:50
-10,40,2026-03-10 14:36:51
29,40,2026-03-10 14:36:52
-1,40,2026-03-10 14:36:53
6,40,2026-03-10 14:36:54
22,40,2026-03-10 14:36:55
31,40,2026-03-10 14:36:57
6,40,2026-03-10 14:36:57
-9,40,2026-03-10 14:36:58
-17,40,2026-03-10 14:36:59
2,40,2026-03-10 14:37:00
19,40,2026-03-10 14:37:01
7,40,2026-03-10 14:37:02
-19,40,2026-03-10 14:37:03
17,40,2026-03-10 14:37:04
32,40,2026-03-10 14:37:05
13,40,2026-03-10 14:37:06
6,40,2026-03-10 14:37:07
-14,40,2026-03-10 14:37:08
-15,40,2026-03-10 14:37:09
2,40,2026-03-10 14:37:11
-10,40,2026-03-10 14:37:11
23,40,2026-03-10 14:37:12
30,40,2026-03-10 14:37:13
37,40,2026-03-10 14:37:14
-13,40,2026-03-10 14:37:15
-14,40,2026-03-10 14:37:16
-5,40,2026-03-10 14:37:17
-5,40,2026-03-10 14:37:18
45,40,2026-03-10 14:37:19
9,40,2026-03-10 14:37:20
6,40,2026-03-10 14:37:21
43,40,2026-03-10 14:37:22
30,40,2026-03-10 14:37:23
1,40,2026-03-10 14:37:24
-13,40,2026-03-10 14:37:25
-15,40,2026-03-10 14:37:26
-19,40,2026-03-10 14:37:27
-20,40,2026-03-10 14:37:28
5,40,2026-03-10 14:37:29
24,40,2026-03-10 14:37:30
-3,40,2026-03-10 14:37:31
8,40,2026-03-10 14:37:32
24,40,2026-03-10 14:37:33
-13,40,2026-03-10 14:37:34
2,40,2026-03-10 14:37:35
23,40,2026-03-10 14:37:36
30,40,2026-03-10 14:37:37
19,40,2026-03-10 14:37:38
32,40,2026-03-10 14:37:39
24,40,2026-03-10 14:37:40
-2,40,2026-03-10 14:37:41
-20,40,2026-03-10 14:37:42
5,40,2026-03-10 14:37:43
8,40,2026-03-10 14:37:44
-13,40,2026-03-10 14:37:45
10,40,2026-03-10 14:37:46
-10,40,2026-03-10 14:37:47
34,40,2026-03-10 14:37:48
-14,40,2026-03-10 14:37:49
21,40,2026-03-10 14:37:50
-13,40,2026-03-10 14:37:51
-9,40,2026-03-10 14:37:52
32,40,2026-03-10 14:37:53
-16,40,2026-03-10 14:37:54
11,40,2026-03-10 14:37:55
36,40,2026-03-10 14:37:56
9,40,2026-03-10 14:37:57
14,40,2026-03-10 14:37:58
35,40,2026-03-10 14:37:59
21,40,2026-03-10 14:38:00
-9,40,2026-03-10 14:38:01
-5,40,2026-03-10 14:38:02
37,40,2026-03-10 14:38:03
1,40,2026-03-10 14:38:04
12,40,2026-03-10 14:38:05
20,40,2026-03-10 14:38:06
16,40,2026-03-10 14:38:07
-10,40,2026-03-10 14:38:08
34,40,2026-03-10 14:38:09
-19,40,2026-03-10 14:38:10
44,40,2026-03-10 14:38:11
32,40,2026-03-10 14:38:12
43,40,2026-03-10 14:38:13
-5,40,2026-03-10 14:38:14
41,40,2026-03-10 14:38:15
-16,40,2026-03-10 14:38:16
16,40,2026-03-10 14:38:17
-11,40,2026-03-10 14:38:18
-15,40,2026-03-10 14:38:19
-5,40,2026-03-10 14:38:20
7,40,2026-03-10 14:38:21
1,40,2026-03-10 14:38:22
-12,40,2026-03-10 14:38:23
5,40,2026-03-10 14:38:24
17,40,2026-03-10 14:38:25
19,40,2026-03-10 14:38:26
43,40,2026-03-10 14:38:27
-15,40,2026-03-10 14:38:28
-3,40,2026-03-10 14:38:29
-14,40,2026-03-10 14:38:30
9,40,2026-03-10 14:38:31
-13,40,2026-03-10 14:38:32
6,40,2026-03-10 14:38:33
36,40,2026-03-10 14:38:34
41,40,2026-03-10 14:38:35
30,40,2026-03-10 14:38:36
-7,40,2026-03-10 14:38:37
-10,40,2026-03-10 14:38:38
34,40,2026-03-10 14:38:39
8,40,2026-03-10 14:38:40
-19,40,2026-03-10 14:38:41
12,40,2026-03-10 14:38:42
-4,40,2026-03-10 14:38:43
37,40,2026-03-10 14:38:44
14,40,2026-03-10 14:38:45
14,40,2026-03-10 14:38:46
2,40,2026-03-10 14:38:47
18,40,2026-03-10 14:38:48
-16,40,2026-03-10 14:38:49
41,40,2026-03-10 14:38:50
0,40,2026-03-10 14:38:51
15,40,2026-03-10 14:38:52
6,40,2026-03-10 14:38:53
45,40,2026-03-10 14:38:54
27,40,2026-03-10 14:38:55
14,40,2026-03-10 14:38:56
0,40,2026-03-10 14:38:57
24,40,2026-03-10 14:38:58
-15,40,2026-03-10 14:38:59
-16,40,2026-03-10 14:39:00
24,40,2026-03-10 14:39:01
-4,40,2026-03-10 14:39:02
30,40,2026-03-10 14:39:03
14,40,2026-03-10 14:39:04
33,40,2026-03-10 14:39:05
4,40,2026-03-10 14:39:06
-8,40,2026-03-10 14:39:07
0,40,2026-03-10 14:39:08
13,40,2026-03-10 14:39:09
43,40,2026-03-10 14:39:10
19,40,2026-03-10 14:39:11
23,40,2026-03-10 14:39:12
28,40,2026-03-10 14:39:13
31,40,2026-03-10 14:39:14
32,40,2026-03-10 14:39:15
35,40,2026-03-10 14:39:16
6,40,2026-03-10 14:39:17
38,40,2026-03-10 14:39:18
-9,40,2026-03-10 14:39:19
27,40,2026-03-10 14:39:20
-11,40,2026-03-10 14:39:21
-18,40,2026-03-10 14:39:22
7,40,2026-03-10 14:39:23
22,40,2026-03-10 14:39:24
-9,40,2026-03-10 14:39:26
17,40,2026-03-10 14:39:27
-18,40,2026-03-10 14:39:27
30,40,2026-03-10 14:39:28
-6,40,2026-03-10 14:39:31
0,40,2026-03-10 14:39:31
-5,40,2026-03-10 14:39:31
31,40,2026-03-10 14:39:32
38,40,2026-03-10 14:39:33
28,40,2026-03-10 14:39:34
35,40,2026-03-10 14:39:36
1,40,2026-03-10 14:39:37
7,40,2026-03-10 14:39:38
23,40,2026-03-10 14:39:39
39,40,2026-03-10 14:39:40
33,40,2026-03-10 14:39:41
25,40,2026-03-10 14:39:42
34,40,2026-03-10 14:39:43
4,40,2026-03-10 14:39:44
41,40,2026-03-10 14:39:45
30,40,2026-03-10 14:39:46
-8,40,2026-03-10 14:39:47
35,40,2026-03-10 14:39:48
36,40,2026-03-10 14:39:49
5,40,2026-03-10 14:39:50
16,40,2026-03-10 14:39:51
11,40,2026-03-10 14:39:52
-6,40,2026-03-10 14:39:53
-19,40,2026-03-10 14:39:54
25,40,2026-03-10 14:39:55
18,40,2026-03-10 14:39:56
-7,40,2026-03-10 14:39:57
21,40,2026-03-10 14:39:58
-5,40,2026-03-10 14:39:59
22,40,2026-03-10 14:40:00
-11,40,2026-03-10 14:40:01
-2,40,2026-03-10 14:40:02
1,40,2026-03-10 14:40:03
15,40,2026-03-10 14:40:04
-6,40,2026-03-10 14:40:05
29,40,2026-03-10 14:40:06
-5,40,2026-03-10 14:40:07
30,40,2026-03-10 14:40:08
21,40,2026-03-10 14:40:09
0,40,2026-03-10 14:40:10
34,40,2026-03-10 14:40:11
29,40,2026-03-10 14:40:12
25,40,2026-03-10 14:40:13
-5,40,2026-03-10 14:40:14
41,40,2026-03-10 14:40:15
18,40,2026-03-10 14:40:16
42,40,2026-03-10 14:40:17
44,40,2026-03-10 14:40:18
33,40,2026-03-10 14:40:19
-12,40,2026-03-10 14:40:20
41,40,2026-03-10 14:40:21
11,40,2026-03-10 14:40:22
20,40,2026-03-10 14:40:23
-16,40,2026-03-10 14:40:24
35,40,2026-03-10 14:40:25
6,40,2026-03-10 14:40:26
1,40,2026-03-10 14:40:27
20,40,2026-03-10 14:40:28
33,40,2026-03-10 14:40:29
-9,40,2026-03-10 14:40:30
3,40,2026-03-10 14:40:31
4,40,2026-03-10 14:40:32
2,40,2026-03-10 14:40:33
5,40,2026-03-10 14:40:34
-3,40,2026-03-10 14:40:35
17,40,2026-03-10 14:40:36
41,40,2026-03-10 14:40:37
39,40,2026-03-10 14:40:38
-9,40,2026-03-10 14:40:39
-16,40,2026-03-10 14:40:40
4,40,2026-03-10 14:40:41
30,40,2026-03-10 14:40:42
9,40,2026-03-10 14:40:43
17,40,2026-03-10 14:40:44
30,40,2026-03-10 14:40:45
24,40,2026-03-10 14:40:46
-11,40,2026-03-10 14:40:47
-12,40,2026-03-10 14:40:48
42,40,2026-03-10 14:40:49
27,40,2026-03-10 14:40:50
24,40,2026-03-10 14:40:51
4,40,2026-03-10 14:40:52
-13,40,2026-03-10 14:40:53
15,40,2026-03-10 14:40:54
-10,40,2026-03-10 14:40:55
-14,40,2026-03-10 14:40:56
27,40,2026-03-10 14:40:57
26,40,2026-03-10 14:40:58
38,40,2026-03-10 14:40:59
12,40,2026-03-10 14:41:00
23,40,2026-03-10 14:41:01
-5,40,2026-03-10 14:41:02
30,40,2026-03-10 14:41:03
33,40,2026-03-10 14:41:04
43,40,2026-03-10 14:41:05
3,40,2026-03-10 14:41:06
11,40,2026-03-10 14:41:07
-15,40,2026-03-10 14:41:08
14,40,2026-03-10 14:41:09
43,40,2026-03-10 14:41:10
-17,40,2026-03-10 14:41:11
31,40,2026-03-10 14:41:12
13,40,2026-03-10 14:41:13
21,40,2026-03-10 14:41:14
-17,40,2026-03-10 14:41:15
40,40,2026-03-10 14:41:16
40,40,2026-03-10 14:41:17
9,40,2026-03-10 14:41:18
-3,40,2026-03-10 14:41:19
-13,40,2026-03-10 14:41:20
43,40,2026-03-10 14:41:21
31,40,2026-03-10 14:41:22
1,40,2026-03-10 14:41:23
-1,40,2026-03-10 14:41:24
-2,40,2026-03-10 14:41:25
28,40,2026-03-10 14:41:26
-19,40,2026-03-10 14:41:27
32,40,2026-03-10 14:41:28
0,40,2026-03-10 14:41:29
23,40,2026-03-10 14:41:30
21,40,2026-03-10 14:41:31
11,40,2026-03-10 14:41:32
36,40,2026-03-10 14:41:33
45,40,2026-03-10 14:41:34
1,40,2026-03-10 14:41:35
-2,40,2026-03-10 14:41:36
38,40,2026-03-10 14:41:37
-17,40,2026-03-10 14:41:38
16,40,2026-03-10 14:41:39
19,40,2026-03-10 14:41:40
36,40,2026-03-10 14:41:41
45,40,2026-03-10 14:41:42
-17,40,2026-03-10 14:41:43
-11,40,2026-03-10 14:41:44
-2,40,2026-03-10 14:41:45
37,40,2026-03-10 14:41:46
-4,40,2026-03-10 14:41:47
8,40,2026-03-10 14:41:48
9,40,2026-03-10 14:41:49
-7,40,2026-03-10 14:41:50
5,40,2026-03-10 14:41:51
3,40,2026-03-10 14:41:52
27,40,2026-03-10 14:41:53
-9,40,2026-03-10 14:41:54
22,40,2026-03-10 14:41:55
31,40,2026-03-10 14:41:56
25,40,2026-03-10 14:41:57
10,40,2026-03-10 14:41:58
-13,40,2026-03-10 14:41:59
5,40,2026-03-10 14:42:01
31,40,2026-03-10 14:42:01
41,40,2026-03-10 14:42:02
11,40,2026-03-10 14:42:03
7,40,2026-03-10 14:42:04
41,40,2026-03-10 14:42:05
-8,40,2026-03-10 14:42:06
35,40,2026-03-10 14:42:07
16,40,2026-03-10 14:42:08
-6,40,2026-03-10 14:42:09
19,40,2026-03-10 14:42:10
9,40,2026-03-10 14:42:11
39,40,2026-03-10 14:42:12
11,40,2026-03-10 14:42:13
5,40,2026-03-10 14:42:14
28,40,2026-03-10 14:42:15
-17,40,2026-03-10 14:42:16
-19,40,2026-03-10 14:42:17
36,40,2026-03-10 14:42:18
26,40,2026-03-10 14:42:19
30,40,2026-03-10 14:42:20
32,40,2026-03-10 14:42:21
0,40,2026-03-10 14:42:22
-12,40,2026-03-10 14:42:23
13,40,2026-03-10 14:42:24
-15,40,2026-03-10 14:42:25
32,40,2026-03-10 14:42:26
25,40,2026-03-10 14:42:27
-12,40,2026-03-10 14:42:28
-5,40,2026-03-10 14:42:29
-3,40,2026-03-10 14:42:30
38,40,2026-03-10 14:42:31
25,40,2026-03-10 14:42:32
23,40,2026-03-10 14:42:33
12,40,2026-03-10 14:42:34
8,40,2026-03-10 14:42:36
-2,40,2026-03-10 14:42:36
-20,40,2026-03-10 14:42:37
5,40,2026-03-10 14:42:38
24,40,2026-03-10 14:42:39
-3,40,2026-03-10 14:42:40
13,40,2026-03-10 14:42:41
17,40,2026-03-10 14:42:42
-9,40,2026-03-10 14:42:43
9,40,2026-03-10 14:42:44
25,40,2026-03-10 14:42:47
33,40,2026-03-10 14:42:47
17,40,2026-03-10 14:42:47
23,40,2026-03-10 14:42:48
38,40,2026-03-10 14:42:49
16,40,2026-03-10 14:42:50
14,40,2026-03-10 14:42:51
1,40,2026-03-10 14:42:52
-19,40,2026-03-10 14:42:53
13,40,2026-03-10 14:42:54
23,40,2026-03-10 14:42:55
12,40,2026-03-10 14:42:56
34,40,2026-03-10 14:42:57
-14,40,2026-03-10 14:42:58
6,40,2026-03-10 14:42:59
13,40,2026-03-10 14:43:00
21,40,2026-03-10 14:43:01
-16,40,2026-03-10 14:43:02
-5,40,2026-03-10 14:43:03
-6,40,2026-03-10 14:43:04
36,40,2026-03-10 14:43:05
21,40,2026-03-10 14:43:06
-16,40,2026-03-10 14:43:07
1,40,2026-03-10 14:43:08
9,40,2026-03-10 14:43:09
-19,40,2026-03-10 14:43:10
